"Gene_ID","s1C104_Pre","s1C110_Pre","s1C125_Pre","s1C113_Pre","s1C114_Pre"
"POLA1",1071,1140,676,984,758
"SNORD92",8,6,6,13,18
"TCAM1P",0,0,3,0,0
"MIR4326",10,0,8,16,5
"FAM3D-AS1",0,0,0,0,0
"EXOC2",3291,2900,2527,2985,2489
"FRMPD2",0,0,0,0,0
"MRPS23",307,269,198,278,157
"UBE2V1",895,451,806,1219,560
"FAN1",1489,767,1496,1597,842
"PIK3CB",2953,2711,2525,3238,2354
"KIRREL3-AS3",0,0,0,0,0
"FAM3B",6,0,0,0,0
"TEX30",67,44,70,108,77
"ADRA1B",0,0,0,0,0
"UPRT",836,857,677,1083,715
"PRR19",6,0,0,0,8
"LINC00635",0,0,0,0,0
"KRT20",0,0,0,0,0
"PCGF3",2865,841,2404,3206,1371
"SLC1A5",819,632,316,265,611
"FRMD8",1144,972,759,1021,850
"MIR4754",18,18,0,27,19
"NAA15",4523,4004,3574,5714,4186
"ENPP6",0,13,0,0,0
"MIR4433B",0,0,0,0,0
"PJA1",599,613,403,639,478
"DLX6",0,0,0,0,0
"GTF2IP4",0,0,0,0,0
"SCARNA6",624,1008,436,920,1015
"LOC79999",0,0,0,0,0
"LRRC63",51,56,26,15,47
"PATZ1",1938,1924,1437,2170,1604
"NRAS",3334,3473,2452,3807,3044
"PCDHAC1",0,0,0,0,0
"LLGL1",917,705,553,779,466
"NCF4",371,287,498,525,426
"LSAMP-AS1",0,0,0,0,0
"CD28",9177,8837,8318,18414,9906
"FAM241A",423,429,432,738,313
"CREBZF",5358,1861,4203,4775,2458
"LMX1A",0,0,0,0,0
"WDR89",911,1075,798,1362,781
"MIR1233-2",0,0,0,0,0
"DLC1",39,15,6,16,27
"DERL1",3613,2848,2143,3587,2593
"SORT1",496,1037,440,29,91
"LOC439933",8,5,14,5,8
"LOC440084",0,0,0,0,0
"C1ORF210",0,0,0,1,0
"NPSR1-AS1",0,0,0,0,0
"PIM2",6681,7015,7086,19124,7829
"PRPSAP1",739,550,380,581,440
"IL21R",1790,1168,1169,2006,1582
"CPT1A",3966,3122,2672,3565,1096
"DHX15",6159,4008,4629,7287,5209
"KIR2DL2",0,0,0,0,0
"FAM19A1",42,100,65,90,74
"CDH15",0,0,0,0,0
"SMG7",5702,4624,4290,6648,5224
"FKBP11",1021,657,526,808,621
"FUT5",13,10,18,20,13
"SLC5A2",7,16,2,18,5
"RORA-AS1",166,108,142,138,114
"ZNF780B",1583,1412,1598,1359,844
"NME6",741,655,604,512,463
"MIR4653",0,0,5,0,0
"ENTPD3-AS1",78,36,31,12,11
"MIR7704",0,0,0,0,0
"MN1",70,29,27,30,23
"HAMP",24,4,10,1,12
"OR5AR1",0,0,0,0,0
"TNFRSF6B",0,0,5,0,0
"MARCH4",0,0,0,0,0
"LOC652276",223,74,85,151,89
"CTBP1-AS",10,6,7,8,11
"MLANA",0,0,0,0,0
"PFN2",250,200,182,311,131
"SLC15A4",1422,1047,835,477,595
"TMEM231",92,49,55,111,44
"MIR4777",0,6,0,0,0
"MIR218-1",0,0,0,0,0
"LOC645166",19,15,8,24,7
"MIR4677",2,1,17,6,12
"ME3",313,89,187,168,156
"PRICKLE1",15,41,55,11,51
"OR2T27",0,0,0,0,0
"STOX1",2,18,21,23,58
"LINC02008",0,0,0,0,0
"HTD2",0,1,0,0,4
"MIR657",0,0,0,0,0
"C1QTNF2",0,0,0,0,0
"MIR1305",0,0,0,0,0
"OR52B2",0,0,5,0,6
"LINC00412",24,22,13,16,9
"CLCN5",244,322,217,334,199
"LYNX1-SLURP2",0,0,0,0,0
"FAM180A",0,0,0,0,0
"KRTAP5-5",0,0,0,0,0
"S100A6",1773,2443,1188,1581,1163
"CDC6",100,62,26,37,40
"TMCO6",416,285,377,356,247
"ATP5O",1596,2326,1393,1984,1596
"NPEPL1",176,69,178,253,98
"LOC101929541",24,3,8,0,13
"VWDE",137,234,39,79,274
"TBC1D3F",35,6,25,30,28
"CARMN",0,0,0,0,0
"SNORD109A",0,0,0,0,0
"LINC02410",0,0,0,0,0
"SECISBP2",3201,2268,3126,5204,3940
"CSN3",0,0,0,0,0
"NLRC5",21288,6235,12914,15711,14938
"MYO15B",2954,1180,2080,3503,1882
"TMEM183A",2622,1871,1787,2926,2122
"POLR3E",2263,1459,1770,4935,2621
"LINC01791",0,0,0,0,0
"SSX2IP",584,582,621,473,525
"KRTAP4-11",0,0,0,0,0
"XDH",0,0,0,1,0
"NUP155",2413,2040,1924,2466,2050
"RUVBL1-AS1",1,2,3,0,1
"OR2B6",0,8,9,0,0
"RORC",200,255,124,140,108
"QTRT1",456,264,335,577,398
"ZNF621",1664,1006,1423,1511,1039
"AZIN1",5853,6741,4477,6560,5566
"LINC02154",0,0,0,0,0
"FAM83E",0,0,0,3,0
"VPS33A",1515,1106,1118,1106,822
"SNORA48",200,155,158,232,313
"AMHR2",0,0,0,5,0
"ADAMTSL4-AS1",1012,195,460,557,587
"ZBTB41",1499,1245,1294,1536,1183
"SPTY2D1",2350,1546,1371,3813,2625
"MEIOB",0,0,1,0,0
"HRH3",0,0,0,0,0
"IDS",16905,12947,9434,14577,19828
"ZNF142",2537,1910,1759,2107,1807
"BCL2L2",143,74,82,42,70
"KCNQ1",571,877,777,926,653
"C18ORF25",3619,3109,3645,5724,3996
"MICALCL",258,260,127,96,86
"MIR6744",0,0,0,0,0
"MAP3K19",0,0,0,0,0
"PCGF1",205,173,140,227,131
"TSHR",77,60,78,18,41
"DNM3-IT1",4,0,6,7,6
"ABCA11P",155,88,154,127,51
"FAAHP1",103,75,151,246,130
"SEMA3B",68,6,20,30,69
"MAGEA2",0,0,0,0,0
"LOC100996671",96,23,11,15,55
"MIR708",0,0,0,0,0
"ADAMTS13",34,26,57,71,40
"LRP2",5,0,0,0,0
"ESX1",0,0,0,0,0
"LINC01347",453,145,307,296,196
"ETF1",3086,2158,1858,5214,4433
"GBA3",2,9,0,0,8
"LINC00524",0,0,0,0,0
"KLC4",516,247,309,495,336
"LOC105372273",0,0,1,0,0
"PACRGL",497,492,480,586,289
"ZNF750",0,0,0,0,0
"MAGEA6",0,0,0,0,0
"LOC441455",17,29,9,16,3
"THOC1",1795,989,1644,2269,1653
"RBM14",4844,2427,3391,6692,5640
"WDR90",160,62,135,218,189
"PGA5",0,0,0,0,0
"GGPS1",790,1106,572,1203,727
"ZNRD1ASP",572,242,372,355,137
"ZNF34",185,185,185,187,157
"MIR6071",0,0,0,0,0
"TRIM60",0,0,0,0,0
"LGALS16",0,0,0,0,0
"LGR5",0,0,0,0,0
"PCDHGA7",32,17,51,43,14
"MIR593",31,17,27,19,16
"MIR384",0,0,0,0,0
"MATR3",14760,14381,11328,20930,14612
"LOC692247",115,1,22,137,110
"HOXA2",9,0,0,4,0
"PDGFRB",367,85,12,59,46
"HIVEP2",12976,16963,10396,18623,12280
"SNORD118",0,0,0,0,0
"PAPLN",24,3,26,3,5
"FTH1P3",87,65,57,124,111
"IFIH1",1211,1037,1077,1261,1170
"USP17L10",0,0,0,0,0
"CAMTA2",2422,1638,1703,2240,1668
"PSG9",0,0,0,0,0
"MYH11",19,5,7,4,0
"LINC01985",0,0,0,0,0
"SYT9",0,0,0,0,0
"LINC01675",5,0,7,0,0
