"Gene_ID","A1","A2","A3","A4","A5","A6","A10","B2","B5"
"IQCF4",0,0,0,0,0,0,0,0,0
"GRM5-AS1",0,0,0,0,0,0,0,0,0
"LOC100505622",26,17,20,4,7,41,49,39,62
"KHDC1",9,6,13,18,23,25,21,12,18
"LINC01335",0,0,0,0,0,0,0,0,0
"NPL",48,42,80,12,26,87,88,139,242
"PARD3",2,1,0,9,2,18,14,21,215
"DPP10",0,0,0,0,0,3,0,0,0
"LINC02544",0,0,0,0,0,0,0,0,0
"ZMYND8",1037,1978,2334,552,761,2949,2808,2628,2730
"SNORD117",46,93,110,118,107,130,95,112,63
"TMEM31",1,4,1,0,0,1,0,0,0
"PRSS8",0,0,0,0,0,0,0,0,1
"THSD7B",1,0,0,0,0,0,0,0,0
"BSG",659,851,1258,512,453,1412,1422,1249,2052
"PKD2L2",0,0,0,0,0,0,1,0,1
"POU2F2",673,1002,1330,459,556,1639,1556,1860,2047
"CLDN23",1,0,0,0,0,0,0,2,5
"UTP3",165,359,423,360,322,533,560,422,463
"CCL20",1,7,6,14,27,1,0,0,18
"PLA2G12B",0,0,0,0,0,0,3,2,0
"SNORA52",6,5,24,9,16,4,4,5,12
"LOC100130283",35,74,58,69,89,94,121,111,87
"MXRA7",70,62,259,266,123,117,191,87,215
"LRRC26",2,0,0,0,0,0,0,0,2
"TCEAL1",35,57,68,28,29,98,87,84,100
"DMBT1P1",0,0,0,0,0,0,0,0,0
"SAP30L-AS1",12,9,7,0,8,11,25,13,13
"LHFPL3-AS2",0,0,3,8,9,3,3,3,3
"SERPINC1",2,2,2,0,5,0,2,0,2
"PLAU",1,2,1,0,3,6,0,5,10
"HOXA-AS3",1,0,0,1,1,0,0,0,0
"SNORD102",56,110,142,88,119,127,134,119,100
"MIR7852",0,0,0,0,0,0,0,0,0
"MIR3671",16,40,60,44,36,32,41,31,24
"KCNA10",0,0,0,0,0,0,0,0,0
"PTGES2",77,128,215,65,66,194,212,176,318
"SYTL3",427,631,1545,1867,1272,1053,617,896,1022
"TUB-AS1",1,3,2,0,1,7,4,1,0
"CDC26",67,115,146,96,67,215,218,180,227
"HSDL2",191,374,372,71,98,573,570,528,553
"HDGFL2",139,161,250,165,115,329,325,282,393
"GPR119",0,0,0,0,0,0,0,0,0
"LY75",398,671,717,159,170,705,742,859,843
"KCNH6",0,0,0,0,0,0,0,0,0
"DZIP1L",0,0,0,0,0,1,0,1,3
"CABP2",0,0,0,0,0,0,0,0,0
"LINC00601",0,0,0,0,0,0,0,0,0
"CWF19L2",516,852,1168,719,807,1260,1263,1364,946
"ITGB4",3,18,15,13,6,8,9,4,7
"CPLX1",13,17,9,7,15,10,29,4,15
"ACKR1",0,0,1,0,0,0,0,0,0
"STARD7",1398,2284,2696,3509,3151,3198,3111,3316,4180
"NDP-AS1",0,0,0,0,0,0,0,0,0
"CCDC141",606,1072,1443,436,913,1577,1504,1582,1336
"ERP44",581,986,1258,1147,1036,1513,1429,1417,1797
"MTMR12",512,741,1051,744,744,1176,1219,1233,1585
"LGSN",4,6,0,0,2,3,0,8,0
"AP1G1",1719,3124,5212,4570,5482,3785,3897,4471,4123
"EXOSC3",253,473,456,445,427,542,625,635,449
"SNORA63C",0,3,4,0,4,3,0,3,2
"SNORD58B",0,0,0,0,0,0,0,0,0
"HOXB-AS3",0,0,0,0,2,0,0,4,0
"ZNF583",56,82,48,14,11,94,87,81,112
"FAR2P1",0,0,0,0,0,0,0,0,0
"TLN1",7043,9531,11351,5034,5225,14125,14330,15222,20977
"EPHX2",238,796,748,113,251,923,1013,673,860
"RPL23AP32",0,0,0,0,0,0,0,0,0
"SUPT20HL1",0,0,0,0,0,0,0,0,0
"BCL2L13",461,836,872,239,243,1215,1127,986,1430
"CREBRF",2541,4482,6311,5174,5149,5178,6148,5620,6088
"ELFN1",0,0,3,0,0,0,0,2,4
"MAST3",1068,1720,1755,483,491,2312,2556,2597,3077
"NPY6R",0,0,0,1,0,0,0,0,0
"SAMD11",0,0,0,0,0,0,0,0,0
"HSD17B12",355,578,704,194,222,871,793,739,954
"RBM22",782,1453,2105,1955,1728,2043,1973,2002,2478
"MIR1301",2,2,2,7,0,5,3,7,1
"LRRC18",0,0,0,0,0,0,0,0,0
"RNF148",0,0,0,0,0,0,0,0,0
"MIR217",0,0,0,0,0,0,0,0,0
"PRELID1",347,533,700,392,368,791,664,778,1341
"MIR4424",0,0,0,0,0,0,0,0,0
"CDHR2",21,25,16,11,27,21,8,24,34
"SMCP",0,0,0,0,0,0,0,0,0
"NAIF1",87,171,217,292,269,228,223,210,291
"A1CF",0,0,0,0,0,0,0,0,0
"ZNF354A",113,192,214,78,55,259,312,267,342
"MIR3974",0,0,0,0,0,0,0,0,0
"ACTR1B",368,704,838,470,657,957,927,811,1074
"FOXD2-AS1",22,42,56,54,38,104,62,86,82
"MIR224",0,0,0,0,0,0,0,0,0
"CALN1",1,7,4,6,6,5,5,9,9
"MIR6768",0,0,0,0,0,0,0,0,0
"RNA5S8",0,0,0,0,0,0,0,0,0
"MYOD1",0,0,0,0,0,0,0,0,0
"FIS1",194,349,415,299,307,443,543,322,627
"IMMP1L",40,93,91,120,79,124,112,103,136
"CTD-2201I18.1",68,161,193,14,51,191,247,370,170
"SMG7-AS1",6,8,11,6,12,5,7,7,8
"SNORD115-6",0,0,0,0,0,0,0,0,0
"COPG1",651,982,1316,1277,1131,1466,1529,1516,1741
"NDUFC2-KCTD14",0,0,0,0,0,0,0,0,0
"CHST7",52,47,55,75,51,78,122,97,107
"LINC00612",0,4,0,0,0,1,0,0,0
"SLC17A9",3,5,28,9,7,16,15,12,73
"CECR2",0,0,1,1,0,1,1,9,9
"TYMSOS",0,1,0,1,3,1,0,2,1
"RFWD2",647,1055,1582,1068,1264,1571,1696,1755,1573
"KCNK13",1,4,0,0,0,2,0,5,14
"SNORD114-23",0,0,0,0,0,0,0,0,0
"CENPI",11,23,28,16,13,28,28,51,37
"MUC19",0,0,0,0,0,0,0,0,0
"MIR2117",0,0,0,0,0,0,0,0,0
"MIR331",0,0,5,3,0,0,5,2,1
"GPR137",60,82,129,82,100,113,122,121,190
"KIAA1614-AS1",15,16,15,3,4,40,19,44,19
"RPL21",5377,10226,12430,10575,10496,14606,17135,11957,18435
"PAXBP1",515,1026,1630,1096,1197,1454,1644,1780,1526
"FAM170B-AS1",0,0,0,0,0,0,0,0,0
"WDR27",129,269,394,83,143,427,376,454,552
"PCK2",97,120,195,139,131,183,214,184,266
"MARS2",152,245,242,265,192,365,324,334,396
"SENP1",728,1203,1481,1659,1507,1588,1688,1489,1784
"LOC101928103",1,2,3,6,1,0,5,8,13
"ENPP4",303,416,465,557,304,539,479,594,660
"SNORD51",20,27,53,24,12,33,41,28,24
"MIR1-2",0,0,0,0,0,0,0,0,0
"HAO1",0,0,0,0,2,0,0,0,0
"PCCB",177,243,275,156,203,289,315,321,374
"ADA2",1527,2771,3670,950,858,3858,4639,4643,6279
"THAP11",253,425,429,373,323,559,610,498,647
"ST18",1,4,1,0,0,1,1,5,10
"USP32",789,1251,1602,736,667,1749,1921,2114,2121
"NPHS2",0,0,0,0,0,0,0,0,0
"ADGRF3",14,26,39,22,21,29,36,39,41
"LINC02114",0,0,0,0,0,0,0,0,0
"CDK18",15,20,14,10,7,41,47,35,52
"KIAA1024",18,21,29,14,9,53,42,59,46
"NTPCR",40,125,65,25,26,164,109,59,125
"MNAT1",90,129,202,109,88,178,195,216,229
"ATP13A5-AS1",0,0,0,0,0,0,0,0,0
"SLC25A33",37,65,106,58,54,78,70,93,123
"MIR3689B",0,0,0,0,0,0,0,0,0
"RPF1",621,1160,1725,1556,1659,1531,1532,1346,1926
"MAST1",0,2,5,6,0,1,2,4,4
"ARHGEF4",9,19,16,6,3,33,17,12,42
"LOC93429",0,0,0,0,0,0,5,0,0
"GNA13",3082,5329,7188,8223,7434,6430,7594,7001,8820
"PQLC2L",0,0,0,0,0,0,0,0,0
"ATE1",816,1236,1552,972,818,1633,1655,1827,2252
"AKAP2",0,0,1,1,0,2,1,0,0
"STX4",128,185,300,97,92,352,362,391,465
"CCDC181",0,0,2,0,0,1,0,0,1
"WWTR1-AS1",0,0,1,0,0,0,0,0,0
